overall_qual,gr_liv_area,neighborhood,garage_cars,total_bsmt_sf,mortgage_rate,days_on_market,distance_to_center,total_sf,age_at_sale,years_since_remodel,total_bath,predicted_sale_price,actual_sale_price
6,1382,NAmes,2,1362,4.8575,35,2.23,7.917536353943631,47,47,2.0,159605.03487609178,176000
8,2574,CollgCr,3,1482,6.208,91,2.23,8.308199063206446,0,0,2.5,325456.43938953365,276000
6,1212,Sawyer,2,506,6.7625,31,2.45,7.449498005382849,29,11,2.0,157605.8615065735,151000
5,1316,OldTown,2,926,5.098000000000001,26,0.49,7.52456122628536,81,9,2.0,118077.10637685774,130000
5,764,OldTown,2,680,6.32,53,1.5,7.275864600546533,83,4,1.0,77359.12288426064,73000
6,1422,NWAmes,2,1422,6.32,30,3.4,7.953318346560431,27,27,2.0,185746.74404757863,175500
6,1511,Gilbert,2,802,6.682,31,3.43,7.746732907753622,9,9,3.5,189230.58836336958,185000
5,2192,SWISU,1,720,6.425999999999999,49,0.94,7.821242083523558,69,11,2.5,179901.39560241697,179500
5,778,IDOTRR,1,740,5.9175,42,1.21,7.325807502595773,68,53,1.0,106572.49691179757,120500
6,1113,Edwards,1,1143,6.2620000000000005,39,2.64,7.721791776817535,31,31,2.5,150187.00724454378,148000
8,1939,Somerst,3,1095,6.523999999999999,48,3.66,8.017966703493599,0,0,2.5,265569.27245507616,266000
7,1363,ClearCr,2,1385,5.9175,41,2.98,7.918992488165245,54,3,2.0,203203.70174319486,241500
8,2270,NoRidge,3,1152,5.098000000000001,67,4.58,8.138272638530186,11,3,2.5,310925.0963862751,290000
6,1632,NAmes,1,1240,4.8100000000000005,33,2.53,7.96311205897929,51,21,3.0,163261.5165139319,139000
5,816,Mitchel,1,816,6.657500000000001,51,2.59,7.398174092970465,25,25,1.0,124900.69550524466,124500
7,1548,BrkSide,2,952,4.952,40,1.12,7.824445930877619,84,2,2.5,168252.04124051283,205000
7,1560,Mitchel,2,1560,5.098000000000001,45,2.88,8.045908742270779,7,7,2.0,200971.58433483518,201000
4,864,Gilbert,2,864,4.7375,42,3.74,7.455298485683291,59,59,1.0,114242.03386455342,141000
9,2121,NridgHt,3,2121,6.2620000000000005,63,5.01,8.353025845202325,1,0,2.5,375685.5148130399,415298
7,2022,ClearCr,2,1160,5.97,39,2.58,8.065579427282092,31,31,2.5,214880.87884642754,192000
7,1982,SawyerW,2,807,6.2175,39,2.71,7.933796874815411,18,18,2.5,229567.41878818415,228500
6,1262,Somerst,2,1262,6.5975,34,3.98,7.83399634170946,0,0,2.0,198664.48887164274,185000
7,1314,NridgHt,2,1314,4.8100000000000005,37,4.37,7.874358824729881,2,1,3.0,208309.18852185996,207500
8,1468,Somerst,3,1468,4.93,53,3.91,7.98514393119862,1,0,2.0,235280.68867889882,244600
6,1575,SawyerW,2,1575,6.695,25,3.13,8.055475141757274,15,15,3.0,193488.40034493984,179200
7,1250,Somerst,2,625,6.657500000000001,34,3.2,7.53689712956617,1,0,2.5,169278.88481944794,164700
6,1734,NAmes,2,912,6.682,40,2.11,7.881182202227102,44,25,1.5,177880.43757862356,159000
4,858,NAmes,0,858,6.682,49,2.34,7.448333860897476,35,35,1.0,93932.54902910699,88000
5,900,Sawyer,1,882,4.99,35,2.64,7.48605261786314,43,43,1.0,110990.63207881617,122000
6,1396,BrkSide,1,698,6.695,25,1.03,7.647308832356238,92,4,1.0,135586.35929122297,153575
8,1919,CollgCr,2,1079,6.7625,42,1.69,8.00603417874901,0,0,2.5,256916.62756593988,233230
5,1716,SWISU,0,780,5.97,33,0.28,7.822845290279774,96,8,3.0,121367.49600182392,135900
5,1716,Edwards,1,768,5.047499999999999,38,2.49,7.818027938530729,60,1,1.5,125512.43026889152,131000
7,2263,NWAmes,2,795,6.324,67,3.34,8.025843344150903,29,12,3.5,237172.20227368246,235000
6,1644,NAmes,2,1416,4.952,21,2.01,8.026496938945412,56,56,2.0,175818.4601144481,167000
6,1003,Mitchel,2,1003,6.324,37,2.59,7.604396348796338,22,22,2.0,146779.71666037774,142500
5,1558,IDOTRR,1,910,6.657500000000001,21,0.47,7.81156848934518,57,57,1.5,131132.85757477622,152000
7,1950,Somerst,2,975,6.657500000000001,47,3.28,7.98139158158007,10,9,2.5,228162.33610717993,239000
6,1743,NWAmes,2,702,6.657500000000001,28,3.6,7.802209316247118,39,39,2.5,174906.0925587936,175000
6,1152,Crawfor,1,1092,5.1925,32,2.55,7.716460800176355,59,5,1.5,162673.44346352323,158500
5,1336,Crawfor,1,1165,6.682,30,2.33,7.824845691026856,53,53,2.0,167138.87038211085,157000
8,2452,CollgCr,2,1028,6.2620000000000005,88,1.79,8.15507488781144,9,8,2.5,279854.91537392855,267000
7,1541,CollgCr,3,1541,6.145,36,1.76,8.03365842788615,5,4,2.0,221341.19836288356,205000
5,894,CollgCr,2,894,6.7625,50,1.76,7.489412083508719,34,34,2.0,128516.94407792704,149900
7,3493,OldTown,3,1470,6.036,120,0.65,8.509967146324497,128,6,3.0,319262.186803467,295000
8,2000,CollgCr,3,2000,6.695,62,2.88,8.294299608857235,3,2,3.0,294412.93208255136,305900
7,2243,SawyerW,3,700,6.657500000000001,48,2.13,7.987524479848767,17,16,3.5,231727.425732575,225000
6,1406,IDOTRR,0,319,5.97,41,0.31,7.453561871643373,88,58,1.0,100395.8261233296,89500
4,861,Edwards,2,861,5.0025,54,2.57,7.45182223652793,69,59,1.0,106674.17075380277,82500
9,1944,NridgHt,3,1896,6.24,72,5.0,8.253488028345904,3,2,3.0,361573.8410031421,360000
6,1501,Gilbert,2,697,6.5975,25,3.54,7.695757990554761,13,12,2.5,171046.04398514214,165600
6,972,NAmes,1,972,4.8575,48,2.39,7.573017256052546,61,7,2.0,134135.9986173366,132000
5,1118,OldTown,2,793,6.5975,44,0.47,7.555905093611346,67,56,2.0,125454.7123495618,119900
7,2036,Timber,2,2136,5.42,50,4.46,8.336390480591552,44,44,4.0,344591.1683282661,375000
7,1641,OldTown,2,728,6.523999999999999,34,1.63,7.7706452341291765,81,16,2.0,166633.8452226272,178000
7,1432,Gilbert,2,716,5.222,41,3.22,7.67275789664251,5,4,3.5,188983.83530276502,188500
7,2353,NWAmes,2,845,5.1925,61,3.71,8.070593539949519,29,29,3.5,257276.26573968522,260000
8,1959,Somerst,3,1088,6.095,57,2.89,8.022240916806537,1,1,2.5,254067.87983224852,270000
7,2646,NoRidge,3,1347,4.8100000000000005,90,4.7,8.29254851397576,16,16,3.5,307599.17467076203,260000
7,1472,NWAmes,2,1372,5.42,41,4.32,7.953318346560431,29,29,3.0,201524.89159571225,187500
9,2596,NridgHt,3,1249,6.4025,113,5.16,8.254788926148725,0,0,3.5,384662.14481515053,342643
8,2468,NridgHt,3,1136,6.657500000000001,76,4.79,8.190077049719049,3,3,3.5,331580.05513609725,354000
7,2730,SawyerW,2,1502,6.572,96,2.47,8.350666240520924,21,20,3.5,278332.4006358004,301000
3,1163,OldTown,1,1162,6.7625,37,1.08,7.75190533307861,51,1,2.0,126871.71025489301,126175
7,2978,NAmes,2,710,4.7375,120,1.63,8.213110697596676,43,3,2.5,253106.05754427135,242000
5,803,IDOTRR,2,720,6.095,60,1.39,7.329093736246592,66,57,1.0,95223.76005903938,87000
8,1719,Veenker,2,1719,6.036,37,4.63,8.142936010432265,15,15,3.5,301006.42154186964,324000
6,1383,NAmes,1,1383,6.5075,27,2.0,7.925518979786926,46,46,1.5,144260.61974535696,145250
6,2134,BrkSide,2,844,5.222,41,1.44,7.999342952713282,93,15,2.0,165213.61154877552,214500
5,1192,IDOTRR,1,596,5.222,37,0.9,7.489412083508719,89,59,1.0,90957.23897961968,78000
5,1728,NAmes,1,1728,6.208,23,1.77,8.148156439921625,43,43,2.5,143587.34098144312,119000
5,1056,NAmes,1,1056,6.572,30,1.7,7.655864017616056,49,15,2.0,123907.11634633323,139000
8,1629,NridgHt,3,3206,4.952,40,4.97,8.483843211734683,6,5,3.0,306868.2555969862,284000
7,1358,NridgHt,2,1358,6.425999999999999,43,4.63,7.907283609426348,4,4,3.0,218322.1329256173,207000
6,1638,Gilbert,2,943,6.425999999999999,28,3.48,7.856319571406588,10,10,3.5,201226.74434638247,192000
5,1786,Timber,2,1499,6.4775,40,3.64,8.097426298597213,43,43,4.0,267863.9599577418,228950
9,1922,StoneBr,3,1922,6.695,52,4.09,8.254528881939745,2,1,3.0,368498.8859517569,377426
7,1536,CollgCr,2,1536,5.286,30,2.55,8.030409562130485,6,5,3.0,218528.67007822418,214000
7,1621,NWAmes,2,1208,6.5975,28,3.36,7.948031990637284,22,8,3.0,220436.2426467367,202500
6,1215,NAmes,1,1215,5.42,28,1.81,7.796057974316123,51,11,1.0,143563.72147187695,155000
8,1908,Timber,2,967,5.098000000000001,53,4.25,7.964155718840937,8,8,2.5,222381.75812163914,202900
4,841,SawyerW,1,721,5.0575,54,2.32,7.354362330421477,59,59,1.0,88680.62547720908,82000
3,1040,NAmes,2,0,6.5975,61,1.95,6.947937068614969,57,56,2.0,84531.13605610523,87500
9,1684,NridgHt,2,1684,6.425999999999999,53,4.72,8.122371243406553,3,3,2.0,284781.342358708,266000
5,1112,MeadowV,1,536,5.098000000000001,37,3.24,7.407924322559599,34,34,1.5,91915.23688796369,85000
6,1577,BrkSide,1,972,6.3575,26,1.3,7.843848638152472,67,56,1.0,132468.21499844117,140200
6,958,NAmes,1,958,6.18,44,2.45,7.558516743045645,47,9,1.0,143919.35546453766,151500
6,1478,NAmes,2,1478,4.93,33,1.54,7.9919305198524775,49,49,3.0,176128.34118554473,157500
7,1626,NridgHt,2,764,6.2,43,5.17,7.779466967458324,5,4,3.5,188004.646124831,154000
9,2728,NridgHt,3,1848,6.5075,125,4.51,8.428799040653642,1,0,3.5,447768.75731371954,437154
9,1869,NridgHt,2,1869,6.095,53,5.0,8.226573474977114,0,0,2.0,299969.392644774,318061
7,1453,ClearCr,2,1453,6.135,37,3.07,7.9748769005588755,20,20,2.5,188460.6224022267,190000
5,1111,Edwards,1,616,5.97,30,2.66,7.454719949364001,67,58,1.5,100688.97309096223,95000
6,720,OldTown,2,624,4.8875,46,0.9,7.20414929203594,82,7,1.0,104023.20493032085,105900
6,1595,SWISU,1,940,6.682,34,1.03,7.8383433155571165,66,6,1.0,145586.27457865607,140000
6,1200,CollgCr,2,1200,6.572,31,2.59,7.783640596221253,12,12,3.0,168857.40571791423,177500
6,1167,Gilbert,2,1158,5.222,29,4.09,7.75190533307861,17,17,3.0,171624.88273022886,173000
5,1142,MeadowV,2,1142,6.572,36,2.42,7.734121303328305,31,31,2.5,135944.8508743196,134000
5,1352,ClearCr,1,1062,6.7625,40,2.51,7.789454566086673,48,48,1.5,118947.11273845643,130000
8,1924,NoRidge,2,1086,6.682,42,4.31,8.010027528481734,8,8,3.5,273382.7983849027,280000
6,912,Mitchel,2,888,6.657500000000001,53,3.38,7.496097345175956,29,29,2.0,152922.40082696365,156000
5,1505,BrkSide,1,883,6.425999999999999,21,0.88,7.77863014732581,68,26,2.0,139484.14629242494,145000
7,1922,Edwards,2,0,5.222,33,2.78,7.56164174558878,6,6,3.0,181143.124944989,198500
6,987,BrDale,1,483,4.8575,50,1.59,7.293697720601438,37,2,1.5,116442.60866213581,118000
6,1574,NWAmes,2,796,6.7625,35,3.17,7.771067086065406,30,30,3.5,186500.6736811826,190000
5,1344,IDOTRR,1,672,5.222,35,0.78,7.6093665379542115,89,12,1.0,126897.6653726627,147000
6,1394,NAmes,2,1394,5.222,34,2.05,7.933438387627489,46,46,2.5,169842.99197691047,159000
6,1431,NAmes,1,1099,5.286,24,1.53,7.836369760545124,46,46,1.5,158868.02681401084,165000
5,1268,NAmes,1,1268,4.9675,29,1.73,7.838737559599282,56,56,1.0,135904.89404862357,132000
5,1287,NAmes,2,1063,4.9675,29,1.85,7.762596048540069,51,4,2.0,167209.45662727076,162000
6,1664,Gilbert,2,953,6.145,33,3.81,7.870165946469845,6,6,2.5,178324.12818827538,172400
4,1588,ClearCr,2,0,6.425999999999999,29,2.56,7.370860166536716,49,49,2.0,114163.59580682144,134432
6,752,SawyerW,1,744,4.99,63,3.0,7.311218384419629,26,26,2.0,117299.10339945997,125000
5,1319,NAmes,1,608,4.875,38,2.64,7.564238475170491,56,56,2.0,122527.20903382699,123000
7,1928,CollgCr,2,847,6.695,51,2.44,7.9287663216266955,4,3,2.5,205229.41534979938,219500
1,904,Edwards,0,683,5.0025,90,2.9,7.370230641807081,87,59,1.5,56923.049560959145,61000
5,914,CollgCr,2,870,6.7625,36,1.93,7.487173694213739,10,10,1.0,140231.83884230157,148000
8,2466,Somerst,2,1580,6.095,87,3.51,8.305731144875866,3,2,3.0,299912.4318610207,340000
9,1856,StoneBr,3,1856,4.7375,55,4.26,8.21959545417708,0,0,2.5,325892.02172069374,394432
6,1800,Gilbert,2,982,5.42,40,3.83,7.931284761525891,9,9,2.5,178686.94137792365,179000
5,1691,SWISU,1,1026,4.8875,22,0.44,7.907651594711089,86,60,2.0,145758.59705824903,127000
7,1301,Somerst,2,1293,6.523999999999999,39,3.32,7.861341795599989,0,0,3.0,211317.55846173604,187750
7,1797,CollgCr,2,939,6.18,42,1.98,7.914617709040679,1,1,2.5,204652.2790550506,213500
6,784,SawyerW,2,784,4.952,44,2.74,7.358193752733032,81,59,1.0,83739.45438166392,76000
6,1953,ClearCr,2,1580,6.657500000000001,41,2.16,8.170185652879642,15,15,3.5,272204.3726700626,240000
8,1269,Blmngtn,2,1256,5.098000000000001,51,2.75,7.8343923029104365,6,5,2.0,186074.0253556326,192000
5,1184,Edwards,0,658,6.5975,26,2.45,7.519149957669823,96,10,1.0,80873.14315684892,81000
6,1125,Edwards,1,1041,4.952,30,3.46,7.681099001536359,33,33,2.0,140955.30560101214,125000
7,1479,CollgCr,2,1468,6.425999999999999,40,2.19,7.988882253309227,9,8,2.0,196000.27605137127,191000
10,2332,NridgHt,3,1682,6.4775,105,5.4,8.297792626380861,1,0,3.5,441841.8066132738,426000
5,1367,Edwards,1,861,5.9175,26,2.69,7.709308333385869,108,58,2.0,132864.73844264506,119000
6,1961,Mitchel,2,804,5.42,34,3.25,7.925157512224703,8,7,3.5,224155.36731077463,215000
5,882,NAmes,1,0,6.695,46,2.15,6.78332520060396,48,48,1.0,102166.24266615527,106500
4,788,BrkSide,0,788,6.5075,52,1.4,7.3632795869630385,65,56,1.0,84467.00799498033,100000
5,1034,OldTown,1,735,6.695,42,0.98,7.478734825567875,67,57,1.0,112952.3565315063,109000
5,1144,Edwards,1,1144,4.7375,34,3.04,7.735870319952567,54,54,2.0,127519.33964340932,129000
5,894,CollgCr,2,894,5.0575,40,2.43,7.489412083508719,37,37,1.0,122316.68216246636,123000
5,1812,NAmes,1,864,6.695,43,2.01,7.892452043520352,45,45,2.0,145087.81206991026,169500
5,1077,IDOTRR,1,961,6.208,43,0.85,7.620214770574455,87,57,1.0,66647.14804608573,67000
7,1550,Somerst,2,1092,4.952,39,3.58,7.879669914604289,3,2,3.0,217453.0223926784,241000
8,1288,Veenker,2,1260,5.286,44,4.11,7.8434564043761155,12,12,2.5,237955.62869470948,245500
7,1310,CollgCr,2,1310,6.7625,34,2.14,7.8713112033234065,1,1,2.0,206904.00523685105,164990
5,672,Sawyer,1,672,6.4775,56,2.15,7.20414929203594,68,11,1.0,107358.43867535738,108000
8,2263,NoRidge,2,1141,6.7625,56,4.55,8.133000218583613,8,8,2.5,240656.17348574044,258000
6,1572,Gilbert,2,806,6.2620000000000005,31,3.2,7.774435510302958,12,11,2.5,169111.41099560857,168000
4,1620,Sawyer,2,1281,5.42,36,2.46,7.973155433444133,33,16,3.0,147924.308622533,150000
6,1639,SWISU,1,1064,5.97,31,1.1,7.7102051944325325,72,58,1.0,110514.2650309812,115000
6,1680,Crawfor,1,840,5.97,24,2.74,7.83241092718792,93,32,2.0,171521.6014185307,177000
7,2172,NridgHt,3,1063,6.572,61,5.13,8.082093278178382,1,1,2.5,279256.30392419186,280000
8,2078,Somerst,3,1034,5.9175,49,3.76,8.043342170441608,1,0,3.5,311592.3033996269,339750
5,1276,Edwards,1,1276,5.42,25,2.84,7.845024417241484,51,51,1.0,96551.46164296755,60000
5,1056,Gilbert,2,1056,6.145,47,3.99,7.655864017616056,51,51,2.0,138600.17907157875,145000
7,1478,Somerst,2,1470,4.7375,33,3.82,7.989221408815276,1,1,3.5,248546.3700369507,222000
5,1028,OldTown,2,1008,4.9675,40,0.83,7.619233416226805,83,60,1.0,106719.301543585,115000
7,2097,SawyerW,3,1080,5.286,50,2.31,8.064007347096661,15,15,3.0,245716.46359416505,228000
7,1340,Gilbert,2,1340,6.572,38,4.14,7.893945138235959,0,0,2.0,207645.6923331651,181134
6,1400,Sawyer,2,672,6.324,25,2.29,7.636752112435779,28,28,1.5,158082.28904520153,149500
6,2624,Crawfor,3,1370,6.208,84,2.69,8.292798858200374,89,57,3.5,236953.2617583347,239000
5,1134,Edwards,1,756,6.18,32,2.96,7.544861068658458,67,57,2.5,108618.28185220073,126000
5,1056,NAmes,1,1056,4.564,43,1.21,7.655864017616056,42,42,2.0,134798.33259819204,142000
7,1344,Mitchel,4,1344,6.0875,27,2.72,7.896924656268864,11,10,4.0,183724.10465835792,206300
6,1602,NWAmes,2,1602,5.42,33,3.4,8.07246736935477,32,9,2.5,220521.57675632,215000
5,988,Mitchel,2,988,5.9175,46,2.77,7.589335823170617,54,54,1.0,115716.23463727851,113000
8,2630,NoRidge,3,1470,6.32,90,4.55,8.31898612539206,10,10,3.5,310267.9680706099,315000
6,1196,NAmes,1,1196,6.036,34,2.06,7.780303087908373,52,52,2.0,137469.2892135809,139000
7,1389,OldTown,1,651,5.0575,42,0.8,7.621195162809845,63,17,1.5,136753.77229146956,135000
7,1644,SawyerW,2,1518,5.1925,40,2.59,8.059276223305648,20,20,3.5,238199.38025886175,275000
4,907,NAmes,1,907,6.425999999999999,59,1.96,7.503840746698951,51,51,1.0,114732.22003708877,109008
7,1208,CollgCr,2,1208,6.3825,43,2.11,7.790282380703483,0,0,3.0,195146.31554663967,195400
6,1412,Timber,2,1392,5.0025,26,4.21,7.9391588179567965,21,21,3.0,189225.0649546112,175000
6,987,BrDale,1,483,6.425999999999999,51,1.77,7.293697720601438,37,37,1.5,91760.3345573358,85400
6,1198,OldTown,0,901,6.0375,38,1.19,7.649692623711514,88,10,1.0,99983.02322142842,79900
5,1365,BrDale,2,765,6.572,30,2.1,7.664346632098617,36,36,2.5,120515.56587106969,122500
6,1604,Gilbert,2,926,6.425999999999999,33,4.28,7.836369760545124,11,10,2.5,177137.15648140362,181000
4,630,MeadowV,0,630,6.32,60,2.53,7.13966033596492,36,36,2.0,86292.99033492985,81000
7,1661,CollgCr,2,799,4.8100000000000005,33,2.25,7.8083230503910555,13,13,3.5,220921.09657559491,212000
6,1118,OldTown,2,648,6.3575,42,0.9,7.4770384723196965,86,56,1.0,112982.7359077621,116000
6,904,BrkSide,1,884,5.047499999999999,38,0.78,7.489412083508719,83,5,1.0,119076.69637936151,119000
5,694,Crawfor,1,440,6.156000000000001,47,2.32,7.034387929915503,94,5,1.0,94618.29409472703,90350
6,1196,Edwards,2,684,5.1925,37,3.02,7.53955882930103,89,9,1.0,137660.78030252646,110000
10,2402,NridgHt,3,3094,4.8100000000000005,93,4.86,8.61195776786066,1,1,3.0,515308.7340580611,555000
4,1440,Edwards,0,1440,6.0375,43,2.2,7.9658927350845286,53,53,2.0,104115.90782128336,118000
5,1573,BrkSide,2,1078,6.32,37,0.68,7.883069351305753,78,16,2.0,155224.19255024163,162900
7,1258,Blmngtn,3,1258,6.657500000000001,27,3.06,7.830822995135316,1,0,2.0,193968.66398088753,172500
7,1908,CollgCr,2,915,6.425999999999999,41,2.57,7.945909598613133,14,13,3.5,217588.60256409156,210000
6,1689,Edwards,2,1436,4.875,39,2.69,8.047509510981422,53,53,1.0,152229.6494331759,127500
6,1888,NAmes,2,1517,4.7375,30,1.98,8.133293861222633,44,8,2.5,202517.0697732788,190000
7,1886,Gilbert,2,930,6.7625,34,4.13,7.943427767876373,8,7,2.5,203125.97226399984,199900
6,1376,IDOTRR,1,780,6.682,28,0.71,7.676473646389156,69,56,2.0,126668.97921658405,119500
3,1183,OldTown,1,649,6.657500000000001,40,0.89,7.513709247839705,59,5,1.5,118292.33016850092,120000
6,813,OldTown,1,813,6.682,55,0.19,7.394493107219038,76,1,1.0,106189.53314624575,110000
7,1533,ClearCr,2,1533,6.135,26,2.35,8.028455164114252,31,31,3.0,245589.2112825943,280000
6,1756,Timber,2,872,6.695,43,3.78,7.874358824729881,11,10,3.5,204038.44877559668,204000
8,1590,Somerst,2,768,5.42,39,3.9,7.765993079407675,1,1,2.5,195363.90552258186,210000
5,1728,Mitchel,2,1728,6.7625,30,2.97,8.148156439921625,30,30,4.0,160538.5272074048,188000
7,1242,NWAmes,2,1242,6.3825,31,3.35,7.818027938530729,34,34,1.5,158090.75537263046,175500
5,1344,OldTown,3,624,6.036,27,0.88,7.585281078639126,92,58,1.0,91221.63044078619,98000
4,1663,ClearCr,2,1364,5.97,34,2.51,8.01565761455734,54,14,2.0,213377.77467352405,256000
8,1666,OldTown,1,588,6.32,46,0.51,7.720905251936779,83,12,1.0,150950.1817689662,161000
5,1203,BrkSide,1,709,5.222,27,1.19,7.556427969440253,59,59,2.0,123980.59259865899,110000
8,1935,Somerst,2,832,4.93,40,3.89,7.92588031673756,0,0,3.5,246223.84202330853,263435
7,1135,SWISU,2,560,4.8100000000000005,38,0.59,7.4360278163518485,73,2,2.0,154843.28577012656,155000
5,864,Sawyer,1,864,4.93,43,1.38,7.455298485683291,44,44,1.0,111907.00397955846,62383
6,1660,Crawfor,1,715,6.4775,36,2.4,7.773173680482536,74,13,1.5,172411.03019205926,188700
5,1040,CollgCr,0,1040,5.1925,43,2.23,7.640603826393634,31,31,2.0,114625.41497714883,124000
7,1414,Blmngtn,2,1375,6.5975,39,2.45,7.933796874815411,2,2,2.0,173423.97755918425,178740
7,1277,NAmes,2,1277,6.18,43,2.32,7.845807502637805,37,37,2.0,171913.2023818568,167000
5,1644,NAmes,1,728,6.657500000000001,35,2.44,7.771910256435763,65,12,1.5,156139.07458243606,146500
8,1634,NridgHt,3,1626,6.2620000000000005,50,4.51,8.089789175789319,1,1,2.0,245996.03307538954,250000
6,1710,SawyerW,2,832,6.32,26,2.27,7.841099765422119,15,15,2.5,180484.2750457049,187000
8,1502,StoneBr,2,1488,4.7375,53,4.47,8.003363058629947,25,25,2.5,223574.76545759567,212000
7,1969,NWAmes,2,808,6.208,50,3.08,7.9294865233142895,30,30,2.5,188405.11325772954,190000
6,1072,Edwards,2,547,6.32,30,2.73,7.3901814282264295,3,3,2.0,129520.223837136,148000
8,1976,NridgHt,3,1976,6.695,60,4.95,8.282230063296685,1,0,3.0,353942.71982628346,440000
8,1652,StoneBr,2,1494,6.572,41,4.01,8.054204897064407,7,7,3.0,247725.33919909198,251000
5,970,Sawyer,2,970,6.695,50,2.42,7.57095858316901,44,44,2.0,135949.60203871847,132500
6,1493,CollgCr,2,1478,5.9175,30,2.18,7.99699040583765,11,10,3.0,214433.00971748214,208900
9,2643,NridgHt,3,2153,6.156000000000001,102,4.65,8.475746001502063,1,1,2.5,399113.87778674753,380000
8,1718,CollgCr,3,1705,5.0575,42,2.21,8.138564737261632,2,1,3.0,283984.7568932836,297000
4,1131,OldTown,2,907,6.156000000000001,40,0.76,7.620214770574455,70,7,1.0,108548.81848057045,89471
9,1850,NridgHt,3,1833,6.324,63,4.6,8.211754397375197,2,1,3.0,341710.31422819523,326000
9,1792,NridgHt,3,1792,6.523999999999999,64,4.69,8.184513753033722,3,2,3.0,333870.0588110778,374000
7,1826,OldTown,1,910,5.42,49,0.1,7.914617709040679,94,4,2.5,158270.22946276018,155000
6,1216,Mitchel,2,1216,6.5975,44,3.14,7.796880342783522,8,8,3.0,158473.1548313264,164000
5,999,Sawyer,1,999,6.156000000000001,42,2.31,7.6004023345004,45,6,2.0,136638.81994358526,132500
5,1113,NAmes,1,1113,5.222,38,1.61,7.708410667257367,59,2,1.0,146057.1028078389,147000
5,1073,NAmes,2,1073,6.657500000000001,33,2.28,7.671826797878781,42,42,2.5,149679.00758204077,156000
5,1484,NWAmes,2,1484,6.285,23,3.25,7.99598047476376,36,36,2.0,178307.93940456843,175000
5,2414,OldTown,2,954,6.5975,73,0.94,8.122371243406553,106,36,2.0,131387.17931368877,160000
4,630,MeadowV,1,630,4.8575,58,2.88,7.13966033596492,39,7,2.0,96641.43619236216,86000
5,1304,MeadowV,1,264,6.32,28,2.2,7.358193752733032,32,32,1.5,110286.24905938488,115000
6,1578,NAmes,1,806,6.523999999999999,23,1.55,7.776954403322442,65,56,2.0,139577.63246211916,133000
6,1456,Gilbert,2,728,6.5975,32,4.01,7.68937110752969,0,0,2.5,178315.6844230522,172785
5,1269,NAmes,1,1269,6.32,37,1.87,7.839525581704678,48,48,1.5,147981.24551345373,155000
5,886,OldTown,1,190,4.93,36,0.41,6.981934677156389,71,13,1.0,88605.22279453134,91300
4,720,IDOTRR,0,720,4.875,50,0.87,7.273092595999522,89,59,1.0,52657.932676484714,34900
8,3228,NoRidge,2,3200,6.2620000000000005,134,4.44,8.768574284141687,15,14,4.0,468988.57323916897,430000
7,1820,BrkSide,1,1026,6.32,48,1.19,7.954021087278037,83,58,3.0,175411.93236202322,184000
5,899,Sawyer,1,864,5.42,54,2.25,7.475339236566737,42,5,1.0,130186.34550770567,130000
5,912,NAmes,1,912,6.657500000000001,46,1.98,7.509335266016592,49,22,1.5,126806.02726867354,120000
6,1218,BrDale,1,672,6.2620000000000005,29,2.11,7.544861068658458,34,34,1.5,108512.9249953806,113000
7,1768,Somerst,2,866,5.9175,40,2.89,7.876638460975463,3,3,2.5,210031.7247285076,226700
5,1214,Edwards,2,1214,6.18,26,3.11,7.795234929002173,42,42,2.0,147365.03633289656,140000
7,1801,Crawfor,2,1501,4.9675,48,2.3,8.10258642539079,51,13,3.0,289330.4067431424,289000
6,1322,NPkVill,2,855,5.42,28,2.38,7.686162303492906,35,35,3.0,136136.1526536942,147000
5,1960,OldTown,2,960,5.222,34,1.07,7.979681302387741,57,57,2.0,123769.15428000079,124500
8,1911,SawyerW,2,777,6.4025,47,2.75,7.896924656268864,13,12,2.5,226209.6661373284,215000
6,1218,Somerst,2,1218,5.0575,36,3.94,7.798523053625206,0,0,2.0,190547.01166128853,208300
7,1378,OldTown,2,689,6.2,37,0.32,7.63433723562832,80,3,2.0,163303.22061662356,161000
5,1041,NAmes,1,1041,5.222,36,2.2,7.641564441260972,50,50,2.0,136508.15502282087,124500
5,1363,NAmes,1,1008,5.42,22,1.51,7.771488760117616,58,9,2.0,159484.286404642,164900
7,1368,NridgHt,2,1368,6.324,39,4.82,7.914617709040679,1,0,2.0,209030.8173080351,202665
5,864,NAmes,2,864,6.7625,47,1.61,7.455298485683291,48,48,2.0,111902.75642472158,129900
6,1080,Mitchel,2,1084,6.657500000000001,47,2.47,7.68017564043659,24,24,1.5,142063.5337349016,134000
5,789,Crawfor,1,768,6.657500000000001,43,2.77,7.351158226430694,81,57,1.0,94442.60357953921,96500
10,2020,NridgHt,3,2006,5.0575,87,4.81,8.300776960851454,0,0,3.5,390432.70357958874,402861
6,2119,NWAmes,2,689,5.1925,56,3.68,7.940583827104244,37,37,2.5,169642.27955383254,158000
7,2344,NoRidge,3,1264,5.222,61,4.87,8.19118600464279,13,12,2.5,253686.80754495013,265000
6,1796,CollgCr,2,794,6.2620000000000005,24,1.59,7.85979918056211,9,9,3.5,194941.88116607437,211000
7,2080,Crawfor,1,1276,5.42,58,3.07,8.118802996980035,83,5,1.5,250908.162296966,234000
4,1294,OldTown,0,0,6.4775,37,1.01,7.166265974133638,108,8,2.0,94936.8767972849,106250
